GlobalFacilityID,MonthYear,PatientVolume
488636,2/1/2020,668
416735,2/1/2020,2754
7560,2/1/2020,1156
5568,2/1/2020,2148
281717,2/1/2020,1737
1457,2/1/2020,2510
4218,2/1/2020,873
1463,2/1/2020,4854
458224,2/1/2020,307
50,2/1/2020,2185
8517,2/1/2020,5079
99359,2/1/2020,6244
2536,2/1/2020,3505
2491,2/1/2020,2027
9961,2/1/2020,3059
490373,2/1/2020,166
489726,2/1/2020,490
227520,2/1/2020,1174
692,2/1/2020,556
3326,2/1/2020,1716
323420,2/1/2020,4715
2513,2/1/2020,2952
5360,2/1/2020,659
486844,2/1/2020,410
2361,2/1/2020,2423
1676,2/1/2020,2138
3580,2/1/2020,2336
182,2/1/2020,1459
130573,2/1/2020,1991
3382,2/1/2020,981
59237,2/1/2020,1906
488693,2/1/2020,411
364889,2/1/2020,109
4524,2/1/2020,619
5539,2/1/2020,4030
488614,2/1/2020,1095
1890,2/1/2020,433
475746,2/1/2020,437
5572,2/1/2020,1649
4904,2/1/2020,969
7198,2/1/2020,2561
2586,2/1/2020,2081
3458,2/1/2020,432
5359,2/1/2020,1685
2534,2/1/2020,3461
489792,2/1/2020,68
6149,2/1/2020,4097
484365,2/1/2020,23
395470,2/1/2020,1874
168435,2/1/2020,1561
2366,2/1/2020,749
7150,2/1/2020,1466
10876,2/1/2020,2250
476742,2/1/2020,1678
1246,2/1/2020,3618
1406,2/1/2020,4217
374941,2/1/2020,2179
484584,2/1/2020,2397
6182,2/1/2020,564
2515,2/1/2020,2685
1441,2/1/2020,2063
6513,2/1/2020,961
2590,2/1/2020,4031
6108,2/1/2020,1132
488546,2/1/2020,2582
5187,2/1/2020,1072
488496,2/1/2020,1184
3042,2/1/2020,1667
4525,2/1/2020,3279
4044,2/1/2020,421
478085,2/1/2020,2794
217368,2/1/2020,375
489595,2/1/2020,1481
6289,2/1/2020,1359
2518,2/1/2020,2972
5645,2/1/2020,2026
6475,2/1/2020,392
1499,2/1/2020,2439
416680,2/1/2020,594
3434,2/1/2020,3764
475748,2/1/2020,938
1428,2/1/2020,1796
488739,2/1/2020,2710
2423,2/1/2020,1469
5886,2/1/2020,2834
226558,2/1/2020,62
486737,2/1/2020,1259
484360,2/1/2020,100
1820,2/1/2020,1868
3377,2/1/2020,1784
3386,2/1/2020,840
2464,2/1/2020,280
2392,2/1/2020,942
1523,2/1/2020,2498
5377,2/1/2020,2849
3559,2/1/2020,628
484546,2/1/2020,217
8407,2/1/2020,38
205052,2/1/2020,2985
483471,2/1/2020,2408
1163,2/1/2020,3124
5819,2/1/2020,2223
5634,2/1/2020,4160
298263,2/1/2020,88
487798,2/1/2020,1744
249,2/1/2020,3751
475750,2/1/2020,1668
1113,2/1/2020,2241
3035,2/1/2020,1336
2498,2/1/2020,1012
10267,2/1/2020,1546
2562,2/1/2020,5295
2569,2/1/2020,1213
488965,2/1/2020,1033
3407,2/1/2020,5079
1648,2/1/2020,1876
480170,2/1/2020,665
346,2/1/2020,2580
72395,2/1/2020,1822
5433,2/1/2020,1534
484309,2/1/2020,1493
475747,2/1/2020,5295
2474,2/1/2020,4681
